plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 8 1 FO 1255.81 145.01 0 6 1255.8 48.3 1339.5 96.7 1339.5 193.3 1255.8 241.7 1172.1 193.3 1172.1 96.7 1255.8 48.3 0 0 1.767 2.0 0.59 1.0 0.57 1.0 8 1 False 3 3.6 0 6.587 0 108010 108010 1000.0 1010.0 A A E
1 8 2 FO 1172.09 290.02 0 6 1172.1 193.3 1255.8 241.7 1255.8 338.4 1172.1 386.7 1088.4 338.4 1088.4 241.7 1172.1 193.3 0 0 2.141 3.0 0.638 1.0 0.611 1.0 7 1 False 3 3.6 0 13.898 0 108020 108020 1000.0 1010.0 A A E
1 8 3 FO 1088.37 435.02 0 6 1088.4 338.4 1172.1 386.7 1172.1 483.4 1088.4 531.7 1004.6 483.4 1004.6 386.7 1088.4 338.4 0 0 2.19 3.0 0.669 1.0 0.638 1.0 10 0 True 3 3.6 0 21.787 0 108030 108030 1000.0 1011.0 A B W
1 8 4 FO 1004.64 580.03 0 6 1004.6 483.4 1088.4 531.7 1088.4 628.4 1004.6 676.7 920.9 628.4 920.9 531.7 1004.6 483.4 0 0 2.187 3.0 0.687 1.0 0.656 1.0 11 0 True 3 3.6 0 30.0 0 108040 108040 1000.0 1011.0 A B W
1 8 5 FO 920.92 725.04 4 6 920.9 628.4 1004.6 676.7 1004.6 773.4 920.9 821.7 837.2 773.4 837.2 676.7 920.9 628.4 0 1 2.169 3.0 0.672 1.0 0.642 1.0 6 0 True 3 3.6 0 38.213 0 108050 108050 1101.0 1111.0 B B W
1 8 6 FO 837.2 870.05 4 6 837.2 773.4 920.9 821.7 920.9 918.4 837.2 966.7 753.5 918.4 753.5 821.7 837.2 773.4 0 1 2.144 3.0 0.636 1.0 0.608 1.0 5 0 True 3 3.6 0 46.102 0 108060 108060 1100.0 1110.0 A A W
1 8 7 FO 753.48 1015.06 4 6 753.5 918.4 837.2 966.7 837.2 1063.4 753.5 1111.7 669.8 1063.4 669.8 966.7 753.5 918.4 0 1 1.766 2.0 0.599 1.0 0.576 1.0 4 0 True 3 3.6 0 53.413 0 108070 108070 1100.0 1110.0 A A W
1 8 8 FO 669.765 1160.067 1 6 753.495 1111.691 753.429 1208.377 669.771 1256.677 586.005 1208.391 586.071 1111.705 669.729 1063.405 753.495 1111.691 1 0 1.605 2.0 0.615 1.0 0.615 1.0 109 1 False 3 3.6 0 60.0 0 108080 108080 1200.0 1210.0 A A N
1 8 9 FOe 586.043 1305.076 1 6 669.771 1256.677 669.755 1353.45 586.097 1401.75 502.282 1353.377 502.347 1256.691 586.005 1208.391 669.771 1256.677 1 0 1.435 2.0 0.459 1.0 0.462 1.0 108 1 False 3 3.6 0 65.818 0 108090 108090 1200.0 1210.0 A A N
1 8 10 cOe 502.32 1450.084 1 3 586.097 1401.75 418.537 1401.727 502.282 1353.377 586.097 1401.75 0.0 0.0 0.0 0.0 0.0 0.0 1 0 0.743 0.0 0.0 0.0 0.0 0.0 107 1 False 3 3.6 0 70.894 0 108100 108100 1200.0 1210.0 A A N
